dataset,duration_minutes,lowest,low,mid,high,highest
bcr23_2025_2016_19_full,21,1.6620334686678782,7.988746609814029,10.131654537648876,12.55401260327602,35.65433115433417
bcr23_2025_2016_19_full,22,1.6984886825913827,8.18057178197864,10.35466162666469,12.851987499465515,36.23951204870613
bcr23_2025_2016_19_full,23,1.7341988918028248,8.357769214390908,10.570210389107041,13.109314181079268,36.80353231173927
bcr23_2025_2016_19_full,24,1.7691858843431003,8.531993926501121,10.788265379933886,13.378021864923866,37.34712756804072
bcr23_2025_2016_19_full,25,1.803469183806161,8.709017701748442,11.02177683009045,13.63580886352133,37.870972377351265
bcr23_2025_2016_19_full,26,1.8370663902972073,8.872230939781728,11.241567903200524,13.897220881432967,38.375688833751724
bcr23_2025_2016_19_full,27,1.869993461137303,9.03977315013499,11.464206502863473,14.150870023557943,38.861853665565306
bcr23_2025_2016_19_full,28,1.9022649436429455,9.202674131643395,11.67347707150062,14.404353148198409,39.3300041405594
bcr23_2025_2016_19_full,29,1.9338941694481904,9.368325882126516,11.860743247979169,14.639188213995768,39.7806430107345
bcr23_2025_2016_19_full,30,1.964893417714123,9.534310729943556,12.077036530776276,14.886853804670377,40.21424267874627
bcr23_2025_2016_19_full,31,1.9952740529774389,9.715148242601364,12.301890255581931,15.147731926127065,40.631248728744104
bcr23_2025_2016_19_full,32,2.02504664218175,9.886359083982414,12.492599277560064,15.37885257311477,41.032082934595714
bcr23_2025_2016_19_full,33,2.0542210545099855,10.04174311844073,12.682622206522261,15.606293188689541,41.417145835601076
bcr23_2025_2016_19_full,34,2.082806546921263,10.203366810094982,12.861879530606682,15.831259309908894,41.786818952105236
bcr23_2025_2016_19_full,35,2.1108118377382787,10.354694134171561,13.046820161444835,16.027969902110208,42.1414666996098
bcr23_2025_2016_19_full,36,2.134540209694646,10.505668994795943,13.23533560078009,16.241109954770863,42.48143804911988
bcr23_2025_2016_19_full,37,2.1400008053914004,10.643866642921383,13.404402371873335,16.486194830652813,42.80706797285312
bcr23_2025_2016_19_full,38,2.144606080312208,10.790604557949038,13.570797149267214,16.685514211920754,43.11867870756884
bcr23_2025_2016_19_full,39,2.1483846080447595,10.934814771839823,13.74996137555309,16.881804229864326,43.41658086225408
bcr23_2025_2016_19_full,40,2.151364006206226,11.080836568917965,13.919652710360804,17.110480570958718,43.70107439244366
bcr23_2025_2016_19_full,41,2.153570994199319,11.222880690538064,14.08273388981343,17.311849581168314,43.97244945982573
bcr23_2025_2016_19_full,42,2.1550314448445143,11.367131768803333,14.252202435557587,17.498403130472802,44.23098719281686
bcr23_2025_2016_19_full,43,2.1557704307076886,11.502681494051346,14.410953183484313,17.69477790223739,44.47696036135778
bcr23_2025_2016_19_full,44,2.1558122658177115,11.637512538135267,14.559134419785815,17.88672164228368,44.71063397716638
bcr23_2025_2016_19_full,45,2.155180543364912,11.76777219041545,14.708305020955336,18.06942194159553,44.93226582901704
bcr23_2025_2016_19_full,46,2.1538981698851476,11.91398911732032,14.9001215210788,18.266379802942332,45.142106961222915
bcr23_2025_2016_19_full,47,2.1519873963618785,12.020764739176961,15.04011464590939,18.442178203493803,45.34040210233436
bcr23_2025_2016_19_full,48,2.149469846618016,12.132692178375537,15.171239289422909,18.611873306165375,45.527390050087135
bcr23_2025_2016_19_full,49,2.146366543318072,12.256220233753096,15.3221321182814,18.785726313585407,45.70330401781014
bcr23_2025_2016_19_full,50,2.1426979318578203,12.369562147604743,15.46794099719095,18.95730311078414,45.868371946801155
bcr23_2025_2016_19_full,51,2.1384839023818443,12.505283651675025,15.611569563000801,19.122389467901847,46.022816788587505
bcr23_2025_2016_19_full,52,2.1337438101379638,12.63271917160632,15.761640391791959,19.28235338540942,46.16685676048113
bcr23_2025_2016_19_full,53,2.1284964943507205,12.749295464324373,15.909262851920197,19.428601244521126,46.3007055774036
bcr23_2025_2016_19_full,54,2.122760295773081,12.876572555621882,16.026758515665605,19.59296953745499,46.42457266258713
bcr23_2025_2016_19_full,55,2.1165530730557465,12.979464431482802,16.150483293313993,19.733872917853102,46.538663339436404
bcr23_2025_2016_19_full,56,2.1098922180563977,13.081678321228983,16.28430079738674,19.8834030896193,46.64317900655974
bcr23_2025_2016_19_full,57,2.1027946701964595,13.18364246601161,16.408945770392055,20.046015323176967,46.738317297742014
bcr23_2025_2016_19_full,58,2.0952769299601792,13.2870970272136,16.542866637385963,20.17814015928178,46.824272228420305
bcr23_2025_2016_19_full,59,2.087355071619732,13.396455674580897,16.668748646451085,20.360647373040777,46.90123433004803
bcr23_2025_2016_19_full,60,2.0790447552603872,13.478809225098598,16.792500953572755,20.507772048171937,46.96939077357249
bcr23_2025_2016_19_full,61,2.070361238171319,13.769154859378101,16.990643653712667,20.694870132726194,47.02892548311466
bcr23_2025_2016_19_full,62,2.0613193856603056,13.874368766584373,17.10150005476192,20.82026890842717,47.08001924082185
bcr23_2025_2016_19_full,63,2.0519336813440674,13.963936400870878,17.210107397072942,20.937628785362225,47.122849783754134
bcr23_2025_2016_19_full,64,2.042218236960326,14.056367290385458,17.326105606502303,21.066071405160606,47.15759189357797
bcr23_2025_2016_19_full,65,2.032186801742701,14.155755091137912,17.44450579142825,21.200699054274317,47.184417479753535
bcr23_2025_2016_19_full,66,2.0218527713951153,14.249373014718241,17.55217755096379,21.333261070237942,47.20349565683412
bcr23_2025_2016_19_full,67,2.0112291966985567,14.3286834727374,17.670016396654802,21.453664721271668,47.31604520975395
bcr23_2025_2016_19_full,68,2.000328791779585,14.403869427316785,17.756497897211556,21.56244692771472,47.56046831449139
bcr23_2025_2016_19_full,69,1.9891639420669176,14.490604998874982,17.837776441774814,21.664742601921667,47.79889036984393
bcr23_2025_2016_19_full,70,1.9777467119597891,14.555101779178184,17.941310434475156,21.808753287216973,48.03136675833651
bcr23_2025_2016_19_full,71,1.9660888522293387,14.654592844170033,18.04858374692624,21.92179450246663,48.257952471351636
bcr23_2025_2016_19_full,72,1.954201807172185,14.728742437492523,18.149782553431873,22.057505649283815,48.478702131612835
bcr23_2025_2016_19_full,73,1.9420967215334408,14.792012605935856,18.241667704337647,22.158233711762726,48.69367001349963
bcr23_2025_2016_19_full,74,1.929784447214742,14.833228448191054,18.327396652467172,22.240050023447004,48.90291006138275
bcr23_2025_2016_19_full,75,1.9172755497813596,14.89328244330636,18.411731051399844,22.339041357124806,49.10647590615147
bcr23_2025_2016_19_full,76,1.9045803147811216,14.925189914147657,18.499394888041156,22.401678632236504,49.30442088008832
