species,Mean_top,Mean_bottom,SE_top,SE_bottom,diff,ratio,SE_ratio,SE_diff,diff_new,common_name
Dryobates villosus,0.14680520964832458,0.08218760602262527,3.7781446261946576e-4,3.925996002268325e-4,0.06461760362569931,0.5598412087657356,0.0030377148251662977,5.448653175443492e-4,0.4401587912342644,Hairy Woodpecker
Dryocopus pileatus,0.06939576292385241,0.035931340740245996,2.0037822180465965e-4,1.7690512965044597e-4,0.033464422183606415,0.5177742736206137,0.002955287727772478,2.6729544827818987e-4,0.4822257263793863,Pileated Woodpecker
Dumetella carolinensis,0.2681128663602172,0.11457064315430497,3.40870993043564e-4,3.365858620779692e-4,0.1535422232059122,0.42732243591911806,0.0013679034605806589,4.7904391912357593e-4,0.5726775640808819,Gray Catbird
Empidonax minimus,0.04385476914528189,0.009303466154959287,1.2088588097515533e-4,5.066711368836225e-5,0.03455130299032261,0.21214263206217784,0.0012949000366572262,1.310746071085046e-4,0.7878573679378221,Least Flycatcher
Empidonax traillii,0.04058667343988205,0.006735695806501744,1.0722049438044752e-4,5.372026534243411e-5,0.03385097763338031,0.16595831182072157,0.001394315257891583,1.1992539899307864e-4,0.8340416881792785,Willow Flycatcher
Empidonax virescens,0.017944448390880743,0.0015729376878425515,8.597572333998646e-5,1.874696515092344e-5,0.016371510703038192,0.08765595094257167,0.0011259780883894459,8.799587323394109e-5,0.9123440490574284,Acadian Flycatcher
Eremophila alpestris,0.061429050906686974,0.012604884587922556,2.0647984905205753e-4,1.5901386538374337e-4,0.04882416631876442,0.20519419398274355,0.0026788876762399937,2.6061338693328807e-4,0.7948058060172565,Horned Lark
Falco sparverius,0.03251811777171974,0.014425560483556086,9.41469685462127e-5,1.1185701577990155e-4,0.018092557288163655,0.44361609687328407,0.003671793628356621,1.4620411644555945e-4,0.5563839031267159,American Kestrel
Fulica americana,0.05227908758988183,0.03109860316183499,1.355677247345352e-4,1.569839942988351e-4,0.021180484428046844,0.5948574199648782,0.0033758450537570437,2.0741885752196062e-4,0.4051425800351218,American Coot
Gallinago delicata,0.017724522965143208,0.004211785704747298,5.165048968198969e-5,3.01432735922206e-5,0.01351273726039591,0.23762477066548618,0.0018362234753557629,5.9802926577591395e-5,0.7623752293345138,Wilson's Snipe
Gavia immer,0.034084280875409614,0.021666063882417885,9.204933514263386e-5,1.0315513020107056e-4,0.01241821699299173,0.6356614640518657,0.003479449091944211,1.382536111173981e-4,0.36433853594813426,Common Loon
Geothlypis trichas,0.24555140317443452,0.0678078357883303,4.133574251186925e-4,3.4456434748427237e-4,0.17774356738610422,0.276145177391477,0.0014782216743633436,5.381346954601774e-4,0.7238548226085231,Common Yellowthroat
Haemorhous mexicanus,0.25115883714661885,0.17226242004008474,5.632725231577823e-4,6.58785916252655e-4,0.07889641710653411,0.6858704316246026,0.003040740679390246,8.667611082630464e-4,0.3141295683753974,House Finch
Haemorhous purpureus,0.014090084462121302,0.01077156372879014,9.80523916831568e-5,1.0120186844596677e-4,0.0033185207333311616,0.7644782937779815,0.008938137110910953,1.40911637886095e-4,0.2355217062220185,Purple Finch
Haliaeetus leucocephalus,0.07713486522265124,0.05724777693937463,2.3574545328349422e-4,2.0864605477585342e-4,0.019887088283276615,0.7421777010192193,0.0035301482552051763,3.1481596992110895e-4,0.2578222989807807,Bald Eagle
Hirundo rustica,0.2792946011659564,0.10158450222067844,4.330559405260049e-4,3.787021372881891e-4,0.17771009894527795,0.36371810194897786,0.00146852879877529,5.752849349770122e-4,0.6362818980510221,Barn Swallow
Hydroprogne caspia,0.024863037816823988,0.008591860334571226,1.2245782262775636e-4,9.454136413093493e-5,0.016271177482252763,0.3455676011061449,0.004166027431601257,1.5470613386181256e-4,0.6544323988938552,Caspian Tern
Hylocichla mustelina,0.05469684881254794,0.01080947563499853,1.3325688651471938e-4,7.508234989044969e-5,0.043887373177549406,0.19762519906848347,0.0014546884197069343,1.529534473905989e-4,0.8023748009315166,Wood Thrush
Icterus galbula,0.21506235030723556,0.10927507838100765,3.406267479925879e-4,3.590618330740627e-4,0.1057872719262279,0.5081088262306189,0.0018534075599730498,4.949262383613462e-4,0.4918911737693811,Baltimore Oriole
Icterus spurius,0.030325169352375368,0.010396793047585319,1.5342033464918364e-4,1.0047105052904261e-4,0.01992837630479005,0.3428436928669927,0.003739692939756537,1.8339092419821906e-4,0.6571563071330073,Orchard Oriole
