species,Mean_top,Mean_bottom,SE_top,SE_bottom,diff,ratio,SE_ratio,SE_diff,diff_new,common_name
Setophaga virens,0.03468720077197787,0.005763163601595944,9.338449834033757e-5,3.327501683850659e-5,0.028924037170381927,0.16614669022966327,0.0010584466433084768,9.913572149270619e-5,0.8338533097703367,Black-throated Green Warbler
Sialia sialis,0.14693988209822662,0.07073568206017347,2.9847454670971587e-4,2.0765639219563924e-4,0.07620420003805314,0.4813919886834261,0.0017185219683858893,3.6360449977039543e-4,0.5186080113165739,Eastern Bluebird
Sitta canadensis,0.04031107300518351,0.02333972535321628,1.476142361537032e-4,1.5248103060826895e-4,0.016971347651967228,0.5789904265315656,0.004336282638575058,2.1222730128473365e-4,0.4210095734684344,Red-breasted Nuthatch
Sitta carolinensis,0.3353091912150363,0.20196008376480176,5.308168882423683e-4,7.223694631546406e-4,0.1333491074502345,0.6023100143272937,0.002355913949932882,8.964285861916912e-4,0.3976899856727063,White-breasted Nuthatch
Spatula clypeata,0.05939711143740251,0.023995066848269554,1.3851045848369315e-4,1.0970076950572114e-4,0.03540204458913296,0.4039769993454564,0.0020732854872365127,1.766901410365339e-4,0.5960230006545436,Northern Shoveler
Spatula discors,0.07790103207202173,0.03537591062005927,1.9423173901496617e-4,1.447991726365579e-4,0.04252512145196246,0.45411350375118564,0.002176457256399972,2.4226590523020283e-4,0.5458864962488144,Blue-winged Teal
Sphyrapicus varius,0.037480007703749124,0.014276633055859477,1.4097267023637598e-4,9.808118033571796e-5,0.023203374647889647,0.3809132903254816,0.002983423801680283,1.7173587770067625e-4,0.6190867096745184,Yellow-bellied Sapsucker
Spinus pinus,0.0372995516760301,0.01973334024806746,1.4265972249145583e-4,1.2159251558068471e-4,0.01756621142796264,0.5290503333515599,0.0038368332859690345,1.8744742267254102e-4,0.47094966664844007,Pine Siskin
Spinus tristis,0.49140760103282255,0.29255774302018234,5.394792028677052e-4,7.451127756829341e-4,0.1988498580126402,0.5953463935138471,0.0016511472121919426,9.199080708487676e-4,0.4046536064861529,American Goldfinch
Spiza americana,0.030055578409604773,0.010269847229432983,1.4791103963782015e-4,1.320195092703395e-4,0.019785731180171788,0.34169521176644796,0.0047033858058629545,1.982594927732896e-4,0.658304788233552,Dickcissel
Spizella pallida,0.030207210545128472,0.010884344199801074,1.3430575085797005e-4,1.4582305020203744e-4,0.0193228663453274,0.3603227177676754,0.005086314321240341,1.9824832075896395e-4,0.6396772822323247,Clay-colored Sparrow
Spizella passerina,0.2793115535350528,0.11417782594165661,5.532412584571542e-4,3.389317552412539e-4,0.16513372759339623,0.40878303993009585,0.00145878992730454,6.488070782367999e-4,0.5912169600699042,Chipping Sparrow
Spizella pusilla,0.11411375929135174,0.0341159498366447,2.906994893066152e-4,2.949198947651288e-4,0.07999780945470705,0.2989643847376976,0.00269431794778537,4.1410619098415023e-4,0.7010356152623024,Field Sparrow
Spizelloides arborea,0.05598796589032334,0.02757067162084309,1.794567018991467e-4,1.630605968909939e-4,0.028417294269480246,0.49243924444142484,0.0033126358787281722,2.4247364004148248e-4,0.5075607555585752,American Tree Sparrow
Stelgidopteryx serripennis,0.08712482504069076,0.018558532794097138,1.7872928832231045e-4,7.63765447980619e-5,0.06856629224659362,0.21301084720031938,9.795063033762208e-4,1.943644388757623e-4,0.7869891527996806,Northern Rough-winged Swallow
Sterna forsteri,0.015052277365850353,0.005500942997434978,5.885441903683127e-5,4.030406568493958e-5,0.009551334368415374,0.36545586184288414,0.003035032433029936,7.13320429463425e-5,0.6345441381571159,Forster's Tern
Strix varia,0.015075412125622746,0.00918389647099307,8.768351407704799e-5,5.7547687840346824e-5,0.005891515654629677,0.6091970418098068,0.005208342796654961,1.0488152848175829e-4,0.3908029581901932,Barred Owl
Sturnella magna,0.0867071914649985,0.025969825783632394,2.3222308583844184e-4,3.125802359612082e-4,0.060737365681366104,0.299511786102722,0.0036931778357515302,3.894020615121252e-4,0.700488213897278,Eastern Meadowlark
Sturnus vulgaris,0.3317192567410788,0.13348575020942913,5.172348592928828e-4,4.977688399295157e-4,0.1982335065316497,0.4024057919363436,0.0016264734044529846,7.17847976714084e-4,0.5975942080636564,European Starling
Tachycineta bicolor,0.2678776915539506,0.10960506203093386,3.9363732628223106e-4,3.497332956719921e-4,0.15827262952301674,0.4091608427529673,0.0014373637494736113,5.265583754382952e-4,0.5908391572470326,Tree Swallow
Thryothorus ludovicianus,0.03939517580152981,0.0047536375415735115,2.715777298338491e-4,5.0192796090942344e-5,0.0346415382599563,0.120665473496603,0.0015215886084597064,2.761770810931531e-4,0.8793345265033969,Carolina Wren
Toxostoma rufum,0.07096079210586265,0.026604380842447536,1.889476985649515e-4,1.1562284877711062e-4,0.04435641126341511,0.37491662723772684,0.001910890342659205,2.2151721367046483e-4,0.6250833727622731,Brown Thrasher
Tringa flavipes,0.04087262623391345,0.008416693922164712,1.0743449839152919e-4,5.4567982562189564e-5,0.032455932311748745,0.2059249599963578,0.0014406263774520416,1.2049828283235787e-4,0.7940750400036423,Lesser Yellowlegs
Tringa melanoleuca,0.0286660733350703,0.006647899617525726,8.130965675759021e-5,4.4721650578481326e-5,0.022018173717544574,0.2319082749778859,0.0016930959387598291,9.279701672198797e-5,0.7680917250221141,Greater Yellowlegs
Tringa solitaria,0.02737713362313518,0.005701920623048696,7.252820224541664e-5,3.3068902322004755e-5,0.021675213000086485,0.2082731049035119,0.0013279569717327506,7.971130673708938e-5,0.7917268950964881,Solitary Sandpiper
Troglodytes aedon,0.2803936396562737,0.09512999162390744,5.4431600314059e-4,4.86755625443372e-4,0.18526364803236622,0.3392730011298562,0.001856710860246112,7.302129485127712e-4,0.6607269988701439,Northern House Wren
Turdus migratorius,0.6981512476386456,0.4693591043133332,4.953935676445984e-4,8.416657167774016e-4,0.22879214332531234,0.6722885705652534,0.0012965155480195575,9.766350217261619e-4,0.3277114294347466,American Robin
Tyrannus tyrannus,0.12945277843092226,0.04636967891383419,2.0616758036680013e-4,1.6933642194619561e-4,0.08308309951708806,0.35819763373080227,0.0014270755666529731,2.6679560527085336e-4,0.6418023662691977,Eastern Kingbird
Vermivora cyanoptera,0.0351504453163366,0.00524639904484658,1.0977804495688026e-4,5.346750943138207e-5,0.029904046271490018,0.14925554989791984,0.0015909258139069217,1.221064851649975e-4,0.8507444501020802,Blue-winged Warbler
Vireo flavifrons,0.06911187261833342,0.007742895665481697,2.090030965034939e-4,4.962258631969151e-5,0.06136897695285172,0.11203423336886587,7.939261890385857e-4,2.1481316398466835e-4,0.8879657666311341,Yellow-throated Vireo
Vireo gilvus,0.13679049216494754,0.024806834087542848,2.3604035653537736e-4,1.8011503541803475e-4,0.1119836580774047,0.18134911056266803,0.0013533961285408195,2.9691156241714125e-4,0.818650889437332,Warbling Vireo
Vireo olivaceus,0.14223853802967976,0.027723456322405506,3.920800596378912e-4,1.6324416411252036e-4,0.11451508170727426,0.19490819229750997,0.0012672092006125828,4.2470628707666643e-4,0.80509180770249,Red-eyed Vireo
Vireo solitarius,0.016778820368808553,0.0030415608647110797,4.187733997544756e-5,2.0365684124842536e-5,0.013737259504097474,0.1812738200812539,0.0012953531564796762,4.6566862609500344e-5,0.8187261799187461,Blue-headed Vireo
Zenaida macroura,0.482789793278234,0.2812499871555757,5.638946499927969e-4,7.180061148565437e-4,0.20153980612265832,0.5825516427052757,0.0016354621217499685,9.129676649596562e-4,0.4174483572947243,Mourning Dove
Zonotrichia albicollis,0.08218974744283047,0.0343875476729777,1.8420682346044126e-4,1.0988951709877082e-4,0.047802199769852775,0.4183921808118097,0.0016330771209372241,2.1449442831362127e-4,0.5816078191881904,White-throated Sparrow
Zonotrichia leucophrys,0.03717482802429214,0.022433406786429005,1.2120785058584753e-4,1.2942964665587189e-4,0.014741421237863133,0.6034569083082172,0.0039991452421401655,1.7732280303758168e-4,0.3965430916917828,White-crowned Sparrow
