species,top,bottom,diff,ratio,diff_new,common_name
Buteo lineatus,0.017109468782089292,0.00553901073850243,0.011570458043586862,3.0889033421002434,2.0889033421002434,Red-shouldered Hawk
Aythya americana,0.03848545767467423,0.012290589502071066,0.02619486817260316,3.131294692430262,2.131294692430262,Redhead
Mareca strepera,0.04845031311918777,0.011747359026841406,0.03670295409234636,4.124357909593485,3.124357909593485,Gadwall
Melanerpes erythrocephalus,0.045292606144753146,0.018644445953417986,0.02664816019133516,2.429281420210285,1.4292814202102848,Red-headed Woodpecker
Melospiza georgiana,0.11625182592597949,0.025667639954601452,0.09058418597137805,4.5291201735568585,3.5291201735568585,Swamp Sparrow
Anas crecca,0.04717276754937834,0.00996245889394395,0.037210308655434385,4.735052666370755,3.7350526663707546,Green-winged Teal
Mareca americana,0.031485472137454264,0.007595526109014716,0.023889946028439548,4.145265474117174,3.145265474117174,American Wigeon
Eremophila alpestris,0.03894826663581274,0.005053983528475948,0.03389428310733679,7.706449064656483,6.706449064656483,Horned Lark
Haemorhous purpureus,0.016371867000274792,0.011242930728413864,0.0051289362718609285,1.4561921082461842,0.45619210824618417,Purple Finch
Aythya collaris,0.06826914269460876,0.025308719819181855,0.04296042287542691,2.697455390172148,1.697455390172148,Ring-necked Duck
Aythya affinis,0.05950951891972675,0.01712146051393483,0.04238805840579192,3.4757267857664997,2.4757267857664997,Lesser Scaup
Aythya valisineria,0.019452439147853,0.005422604208096074,0.014029834939756925,3.5872872887919893,2.5872872887919893,Canvasback
Zonotrichia leucophrys,0.0323580598662675,0.017499781737755488,0.014858278128512009,1.8490550540099322,0.8490550540099322,White-crowned Sparrow
Oxyura jamaicensis,0.028665230030516464,0.008235762026249673,0.02042946800426679,3.480580174506302,2.480580174506302,Ruddy Duck
Passerella iliaca,0.02116868904540831,0.007857440802429016,0.013311248242979294,2.6940946266963044,1.6940946266963044,Fox Sparrow
Regulus satrapa,0.04328710064648627,0.01328974555472562,0.02999735509176065,3.257180543317029,2.257180543317029,Golden-crowned Kinglet
Nannopterum auritum,0.07003842278562786,0.03293334756079816,0.0371050752248297,2.126671837909284,1.1266718379092842,Double-crested Cormorant
Fulica americana,0.04910595914746733,0.02207843860040548,0.027027520547061847,2.224159055639264,1.224159055639264,American Coot
Cathartes aura,0.21795409513616706,0.08750860923297797,0.1304454859031891,2.4906588854120444,1.4906588854120444,Turkey Vulture
Podilymbus podiceps,0.061399322177709,0.021768021185988536,0.039631300991720464,2.820620287581768,1.820620287581768,Pied-billed Grebe
Podiceps auritus,0.015643907071817346,0.005694219445710904,0.009949687626106441,2.747331257772461,1.7473312577724611,Horned Grebe
Catharus guttatus,0.0242830076797362,0.009768448009933357,0.014514559669802843,2.485861382999966,1.4858613829999658,Hermit Thrush
Pipilo erythrophthalmus,0.1150369524029909,0.02410585233831618,0.09093110006467472,4.772158677008902,3.7721586770089024,Eastern Towhee
Sphyrapicus varius,0.03416108644403627,0.01304723194971238,0.021113854494323896,2.618263136250087,1.618263136250087,Yellow-bellied Sapsucker
Sturnella magna,0.06290827222808769,0.01548206854404532,0.047426203684042365,4.063298909258694,3.0632989092586937,Eastern Meadowlark
Toxostoma rufum,0.05882494733137604,0.020671859691328683,0.03815308764004736,2.845653376607021,1.8456533766070211,Brown Thrasher
Spizella passerina,0.2131090638242483,0.0962196979250536,0.1168893658991947,2.2148174274070254,1.2148174274070254,Chipping Sparrow
Spizella pallida,0.025965511090541824,0.006819482572972344,0.01914602851756948,3.807548565847347,2.807548565847347,Clay-colored Sparrow
Gallinago delicata,0.021019240318374,0.003686206796201267,0.017333033522172733,5.702132701842685,4.702132701842685,Wilson's Snipe
Gavia immer,0.03397307030357375,0.019274981326452414,0.014698088977121337,1.7625475079942161,0.7625475079942161,Common Loon
Chroicocephalus philadelphia,0.018329163231756408,0.0033951904701853774,0.01493397276157103,5.398567000205922,4.398567000205922,Bonaparte's Gull
Passerculus sandwichensis,0.043682416634125414,0.009758747465732827,0.03392366916839259,4.476231892208833,3.4762318922088333,Savannah Sparrow
Pandion haliaetus,0.05137661561305314,0.026385480225440648,0.024991135387612495,1.9471548432730916,0.9471548432730916,Osprey
Cistothorus palustris,0.03747306307218373,0.008895399031885689,0.028577664040298045,4.212634299806112,3.212634299806112,Marsh Wren
