species,Mean,SE,common_name
Circus hudsonius,0.011457721833197756,4.960943905399252e-5,Northern Harrier
Cistothorus palustris,0.02579919681864952,1.0783556021695915e-4,Marsh Wren
Cistothorus stellaris,0.010787157442041595,5.539940544199803e-5,Sedge Wren
Colaptes auratus,0.17680569676917984,3.5475961454198214e-4,Northern Flicker
Columba livia,0.04334715473706608,1.584969363611561e-4,Rock Pigeon
Contopus virens,0.133769853671908,3.4961770909432865e-4,Eastern Wood-Pewee
Corthylio calendula,0.050921123026988285,1.505759257244843e-4,Ruby-crowned Kinglet
Corvus brachyrhynchos,0.35617191434759116,5.968823881458073e-4,American Crow
Cyanocitta cristata,0.40974704415591295,6.799491310767358e-4,Blue Jay
Cygnus buccinator,0.041312568855549126,1.5566204664223184e-4,Trumpeter Swan
Cygnus olor,0.03671629416563128,2.3176870733300915e-4,Mute Swan
Dolichonyx oryzivorus,0.01249902106828272,7.10707918670328e-5,Bobolink
Dryobates pubescens,0.3444473383583452,6.278042729078362e-4,Downy Woodpecker
Dryobates villosus,0.15334302566066604,5.659600319571585e-4,Hairy Woodpecker
Dryocopus pileatus,0.05113531510138646,1.6595166835188042e-4,Pileated Woodpecker
Dumetella carolinensis,0.2272184552838853,5.041379925079637e-4,Gray Catbird
Empidonax minimus,0.029971294421843788,1.0821215813519876e-4,Least Flycatcher
Empidonax traillii,0.022107512801729706,1.0502741101267876e-4,Willow Flycatcher
Falco sparverius,0.014677575567790443,7.549426172886083e-5,American Kestrel
Fulica americana,0.0403459810609138,1.2796540322609196e-4,American Coot
Gavia immer,0.025704321211283677,0.00011133569809874869,Common Loon
Geothlypis trichas,0.15571660844332286,4.0619001828899723e-4,Common Yellowthroat
Haemorhous mexicanus,0.2687992073476334,6.860029411391952e-4,House Finch
Haemorhous purpureus,0.012226205783131733,9.721823878855339e-5,Purple Finch
Haliaeetus leucocephalus,0.07053425741470924,1.776530690205373e-4,Bald Eagle
Hirundo rustica,0.16455791702758918,3.543526963730932e-4,Barn Swallow
Hydroprogne caspia,0.010213283125975853,4.7160678974736456e-5,Caspian Tern
Hylocichla mustelina,0.03584567639782615,1.4387871609908745e-4,Wood Thrush
