common_name,N,time,Index,audio_index
Blackburnian Warbler,0.012936012936012936,post,0.0327635,0.04338468647025206
Blue Grosbeak,0.0012971551433089894,post,0.042443499999999995,0.05538389909421823
Blue Jay,0.38594807825577054,post,10.150126499999999,0.084809997579587
Blue-gray Gnatcatcher,0.06633260479414325,post,0.485463,0.04130934950847103
Blue-headed Vireo,0.007409776640545871,post,0.057899,0.07997858819331018
Blue-winged Teal,0.055919825150594384,post,0.1235175,0.00367188073731365
Blue-winged Warbler,0.012758320450628143,post,0.408215,0.08253098432858752
Bobolink,0.012705012705012704,post,4.6504005,0.05381882552521912
Brewer's Blackbird,0.0018124633509248895,post,0.41971749999999997,0.01722704681724119
Broad-winged Hawk,0.01075039536577998,post,0.046431,0.02667276678485645
Brown Creeper,0.022264868418714574,post,0.0195365,0.05173064695596884
Brown Thrasher,0.033743802974572204,post,2.1937055,0.06200961547368713
Brown-headed Cowbird,0.19766512074204381,post,17.557875000000003,0.0285454039039152
Canada Goose,0.32679424987117295,post,262.2234565,0.01555045537537116
Canada Warbler,0.006858929935853013,post,0.0138265,0.12696304028087488
Cape May Warbler,0.005153082076158999,post,0.0028295,0.02816432580373737
Carolina Chickadee,2.665387280771896e-4,post,0.237656,0.08495373665480427
Carolina Wren,0.04172219556834941,post,0.231759,0.17330704542711142
Caspian Tern,0.011994242763473533,post,0.0207205,0.01003739575346966
Cedar Waxwing,0.1325941325941326,post,7.841291,0.01474185601819152
Cerulean Warbler,0.004460081383158307,post,0.046509499999999995,0.16573255446795074
Chestnut-sided Warbler,0.019101942178865256,post,0.55633,0.05891511552472678
Chimney Swift,0.06953106953106954,post,3.0421715000000003,0.06495669553630913
Chipping Sparrow,0.14153206460898768,post,20.1375155,0.04764761422855623
Clay-colored Sparrow,0.012633935710858787,post,0.917531,0.03715272069702449
Cliff Swallow,0.019972635357250742,post,101.02237600000001,0.02206411971365153
Common Gallinule,0.0042113119036195955,post,0.004481000000000001,0.01568590542967616
Common Grackle,0.2701281162819624,post,36.8260255,0.02881170781859949
Common Loon,0.02613856460010306,post,0.217117,0.01023425739157339
Common Merganser,0.021607406222790837,post,0.0040165,0.0025780304522811
Common Nighthawk,0.007551930628853706,post,0.047060000000000005,0.0721923076923077
Common Raven,0.004158004158004158,post,0.7133385,0.07738240792597793
Common Yellowthroat,0.15007907315599622,post,25.445565,0.06842491725664687
Connecticut Warbler,3.7315421930806547e-4,post,0.001934,0.19939655172413792
Cooper's Hawk,0.026902642287257673,post,0.15374549999999998,0.01527581941644638
Dark-eyed Junco,0.08706931783854861,post,0.0033615,0.02922327882408292
Dickcissel,0.009382163228317074,post,7.0832075,0.08495224218876478
Double-crested Cormorant,0.056133056133056136,post,1.8399675,0.00169349382360924
Downy Woodpecker,0.3138226984380831,post,2.233154,0.0232547684076834
Eastern Bluebird,0.090161167084244,post,2.620431,0.01300868134254162
Eastern Kingbird,0.11036480267249497,post,3.35403,0.01420260732581649
Eastern Phoebe,0.06924676155445386,post,1.4122469999999998,0.02561709649863471
Eastern Screech-Owl,0.0012971551433089894,post,0.008409,0.12664991235665565
Eastern Towhee,0.05933152086998241,post,1.5722105,0.12200173129814489
Eastern Whip-poor-will,7.818469356930895e-4,post,0.0214175,1.3761737089201878
Eastern Wood-Pewee,0.13012420704728397,post,5.3738195,0.07017317136210907
Eurasian Collared-Dove,0.002256694564386872,post,0.45839700000000005,0.02457374012324675
European Starling,0.19480427172734865,post,108.61148299999999,0.0212382047829571
Evening Grosbeak,1.0661549123087585e-4,post,0.002312,0.07579494619755774
Field Sparrow,0.06085967624429163,post,2.9400905,0.07353012515765985
Forster's Tern,0.007374238143468913,post,0.2138235,0.00799364687934295
Franklin's Gull,7.107699415391723e-4,post,0.5403279999999999,0.00764896011371905
Gadwall,0.016276631661247046,post,0.011318000000000002,0.00684674796203836
Golden-winged Warbler,0.0038914654299269684,post,0.146714,0.05503916449086162
Grasshopper Sparrow,0.00513531282762052,post,0.2501835,0.10041592394533572
Gray Catbird,0.22367930060237753,post,11.357228,0.07969093869875381
Great Blue Heron,0.1550189242496935,post,1.5806735,0.00428259855780489
Great Crested Flycatcher,0.08170300477992785,post,4.456440000000001,0.07568548007161029
Great Egret,0.06707891323275939,post,0.447237,0.00253736949911759
Great Horned Owl,0.008369316061623755,post,0.064613,0.08264042320371906
Greater Prairie-Chicken,5.863852017698171e-4,post,0.049961,0.03382045929018789
Green Heron,0.06892691508076124,post,0.715448,0.0124631778890266
Green-winged Teal,0.013771167617321464,post,0.018131500000000002,0.00876116218423201
Hairy Woodpecker,0.13840467686621533,post,0.886182,0.05439063816223846
Henslow's Sparrow,0.006290313982621675,post,0.0479665,0.15892846417202233
Hermit Thrush,0.017360555822094285,post,0.0970605,0.05974468593978893
Hooded Merganser,0.036089343781651476,post,0.1216305,0.00198679800577471
Hooded Warbler,0.004193542655081117,post,0.046273,0.1701926782273603
Horned Lark,0.00792508484816177,post,19.4883425,0.02264318074868284
House Finch,0.23949393180162412,post,11.175357,0.03027182189694652
House Sparrow,0.27416173570019725,post,88.9329885,0.03764395243659849
Indigo Bunting,0.09888586811663735,post,10.916274999999999,0.07250272685690158
Killdeer,0.13348259502105655,post,14.0187095,0.02504885649395236
Lark Sparrow,0.0016525401140785757,post,0.06354,0.02048596811201977
LeConte's Sparrow,2.843079766156689e-4,post,0.027623,0.04453340005003753
Least Bittern,0.0023988485526947067,post,0.012378,0.09069493521790342
Least Flycatcher,0.02850187465572081,post,0.7014735,0.08416867429283825
Lesser Scaup,0.025072409687794305,post,0.0227995,4.424160573743771e-4
Lincoln's Sparrow,0.004779927856850934,post,0.0049485,0.02683123854525871
Loggerhead Shrike,1.2438473976935516e-4,post,0.00395,0.01578694768658926
Louisiana Waterthrush,0.002150079073155996,post,0.009051,0.1735109755225588
Magnolia Warbler,0.018160172006325852,post,0.014154,0.04209924665492298
Mallard,0.31458677612523767,post,6.4318035,0.00672852514450048
Marsh Wren,0.025267871421717575,post,1.0020985,0.1501075338894682
Merlin,0.004566696874389182,post,0.011422999999999999,0.00984004714650538
Mourning Dove,0.35533166302397073,post,37.733053,0.01274254009740039
Mourning Warbler,0.003873696181388489,post,0.260915,0.22028725314183123
Mute Swan,0.039643193489347334,post,0.5688265,0.00425654946431726
Nashville Warbler,0.02439717824333209,post,0.137078,0.05872060470324748
Northern Bobwhite,5.863852017698171e-4,post,0.028888999999999998,0.1966118260302981
Northern Cardinal,0.5140998987152833,post,18.188944499999998,0.05562262406246789
Northern Flicker,0.1648808571885495,post,2.2328865,0.03248474629304501
Northern Harrier,0.011105780336549567,post,0.174927,0.00308366004080977
Northern Mockingbird,0.002150079073155996,post,0.2375785,0.03585991301196085
Northern Parula,0.008333777564546795,post,0.028958499999999998,0.06651860165506121
Northern Pintail,0.00385592693285001,post,0.00688,0.00266528163142572
Northern Rough-winged Swallow,0.04202427279350356,post,1.829805,0.0155854487596731
Northern Shoveler,0.02924818309433694,post,0.019715499999999997,0.00209488601355514
Northern Waterthrush,0.013309167155321001,post,0.0668865,0.14192620297777458
