common_name,N,time,Index,audio_index
Red-breasted Nuthatch,0.07244291382746064,pre,0.2634415,0.05415821840910233
Common Merganser,0.8735805897266201,pre,0.00426475,0.0025780304522811
Barn Swallow,1.8544526867647706,pre,27.57323675,0.01587309593463129
Savannah Sparrow,0.1596189155799679,pre,9.032828,0.03642121217589
Cliff Swallow,0.4344228901765427,pre,103.0690245,0.02206411971365153
Ring-billed Gull,7.153877339691349,pre,10.337113,0.00681117015982962
Winter Wren,0.015770582791264295,pre,0.03834225,0.2165603785229377
Eastern Wood-Pewee,0.2889291037465129,pre,4.9563235,0.07017317136210907
Clay-colored Sparrow,0.07314669219212423,pre,1.24855075,0.03715272069702449
Least Bittern,0.0047513299924236444,pre,0.012722250000000001,0.09069493521790342
Spotted Sandpiper,0.13850886876383808,pre,0.104819,0.01287676789662968
Marsh Wren,0.10335960001599197,pre,1.0906445,0.1501075338894682
Willow Flycatcher,0.05977159913973834,pre,2.45576425,0.11422187849102004
Belted Kingfisher,0.109012955799745,pre,0.26419950000000003,0.01770883344646237
Red-headed Woodpecker,0.060138356879070064,pre,0.54518675,0.0260037802852397
Hooded Warbler,0.01549634051770994,pre,0.045552999999999996,0.1701926782273603
Northern Parula,0.03229450580385863,pre,0.027494499999999998,0.06651860165506121
Pine Warbler,0.03575061927539905,pre,0.45331,0.05248244527054935
Golden-winged Warbler,0.01443902090882568,pre,0.11006874999999999,0.05503916449086162
Common Raven,0.013100850778831538,pre,0.4133775,0.07738240792597793
Merlin,0.007242639320857183,pre,0.0099385,0.00984004714650538
Ruffed Grouse,0.006274531053972532,pre,0.06601699999999999,0.02673464718763277
Red Crossbill,0.003836087705983207,pre,0.007208,0.35198578715112616
Mourning Warbler,0.012582103345722698,pre,0.31853625,0.22028725314183123
Dickcissel,0.08910230591494327,pre,7.67558275,0.08495224218876478
Brewer's Blackbird,0.027107031472770222,pre,0.45054525,0.01722704681724119
Yellow-billed Cuckoo,0.022154149929903017,pre,0.40905275,0.0843160478569099
Alder Flycatcher,0.018251979748364542,pre,2.45576425,0.31918050835287926
Wilson's Snipe,0.057875032091302195,pre,0.29546574999999997,0.01938294198005
Canada Warbler,0.015671459077931396,pre,0.01342175,0.12696304028087488
Grasshopper Sparrow,0.030751479999643158,pre,0.35349925,0.10041592394533572
Northern Pintail,0.12820991494854986,pre,0.0081995,0.00266528163142572
American Bittern,0.008547768213073691,pre,0.06664149999999999,0.03435083697880514
Upland Sandpiper,0.0056037939270865795,pre,0.064199,0.08217288070333055
Wilson's Phalarope,0.014171386882826851,pre,0.00613,0.00170052454641777
Purple Martin,0.33547099128008695,pre,1.48167,0.03718392462263244
Black-crowned Night Heron,0.037809088388945596,pre,0.029115500000000002,0.00907334960053173
Carolina Wren,0.04145023279204076,pre,0.12009800000000001,0.17330704542711142
Ring-necked Pheasant,0.049214923669784555,pre,12.32418625,0.02297506912753186
Orchard Oriole,0.04679630506446181,pre,0.35589875,0.04871554226597115
Acadian Flycatcher,0.027391186117657867,pre,0.20484225,0.300500252064994
Cerulean Warbler,0.015215489996600058,pre,0.0429645,0.16573255446795074
Louisiana Waterthrush,0.006294355796639112,pre,0.00917475,0.1735109755225588
Caspian Tern,0.2374872006505159,pre,0.02267525,0.01003739575346966
Greater Prairie-Chicken,0.005643443412419739,pre,0.056743,0.03382045929018789
Lark Sparrow,0.009449794004403076,pre,0.06856875,0.02048596811201977
Red-necked Grebe,0.005408850624198544,pre,0.02015575,0.0036267774404857
Blue Grosbeak,0.0029241495433205322,pre,0.03944225,0.05538389909421823
Olive-sided Flycatcher,0.006723891887748343,pre,0.0133095,0.04435207671710567
Eastern Screech-Owl,0.004444046481091656,pre,0.008566,0.12664991235665565
Eurasian Collared-Dove,0.007516881594411538,pre,0.1329455,0.02457374012324675
American Black Duck,0.030946423302531192,pre,0.00402675,0.00256833322956229
Common Gallinule,0.01707240755970304,pre,0.00459025,0.01568590542967616
Prothonotary Warbler,0.015298093091044141,pre,0.039246,0.05103027780158429
Yellow-throated Warbler,0.004635685660201928,pre,0.16507125,0.05883892734570414
Bell's Vireo,0.0026928608788771005,pre,0.027442750000000002,0.2392064324418808
Western Kingbird,5.187474331088402e-4,pre,0.00545725,0.01415547024952015
Franklin's Gull,0.16194832284329103,pre,0.56570425,0.00764896011371905
Yellow-breasted Chat,0.002035340247102201,pre,0.03675625,0.1355189277304836
LeConte's Sparrow,5.088350617755503e-4,pre,0.029728,0.04453340005003753
Eastern Whip-poor-will,0.0017115361168813963,pre,0.02365425,1.3761737089201878
Prairie Warbler,0.002530958813766698,pre,0.0034195,0.04845643841292862
Loggerhead Shrike,9.615000193291241e-4,pre,0.00385425,0.01578694768658926
White-eyed Vireo,0.0027556392306546033,pre,0.014187,0.18229073891146988
Carolina Chickadee,2.445051595544852e-4,pre,0.23592525,0.08495373665480427
