species,common_name,N,audio_index,time,Index
Vireo gilvus,Warbling Vireo,0.181349110562668,1.151243527958994,pre,8.27644675
Vireo olivaceus,Red-eyed Vireo,0.1949081922975099,1.2598374902260576,pre,7.62209875
Vireo solitarius,Blue-headed Vireo,0.18127382008125337,0.9078557465425467,pre,0.0560245
Zenaida macroura,Mourning Dove,0.5825516427052757,-0.38288638221003635,pre,37.65037275
Zonotrichia albicollis,White-throated Sparrow,0.4183921808118097,0.6171131445327823,pre,0.0825025
Zonotrichia leucophrys,White-crowned Sparrow,0.6034569083082172,0.16385136214541451,pre,0.09040373716457664
Actitis macularius,Spotted Sandpiper,0.2177971557108529,-0.3755228939426579,post,0.096471
Agelaius phoeniceus,Red-winged Blackbird,0.5880440849187263,0.40751927824096984,post,209.80007899999998
Aix sponsa,Wood Duck,0.4504401685576558,-0.7044939116316719,post,1.919458
Anas crecca,Green-winged Teal,0.2085709379049148,-0.6461328493763393,post,0.018131500000000002
Anas platyrhynchos,Mallard,0.557462351822331,-0.8316283552899344,post,6.4318035
Antigone canadensis,Sandhill Crane,0.3696720623716409,-0.04795452461337031,post,18.7519445
Archilochus colubris,Ruby-throated Hummingbird,0.8514126954960347,-0.748959232609749,post,0.3776895
Ardea alba,Great Egret,0.5983809364451876,-1.516928372890033,post,0.447237
Ardea herodias,Great Blue Heron,0.5076486093926045,-1.1491087738138028,post,1.5806735
Astur cooperii,Cooper's Hawk,0.38790367273836873,-0.2554678578366795,post,0.15374549999999998
Aythya affinis,Lesser Scaup,0.28333144014068345,-2.7442999972713333,post,0.0227995
Aythya americana,Redhead,0.3132098755747064,-2.0583769322576813,post,0.089423
Aythya collaris,Ring-necked Duck,0.3680581541538181,-1.728892125748346,post,0.093779
Aythya valisineria,Canvasback,0.2744473609454463,-2.2793350042715144,post,0.012506394046073076
Baeolophus bicolor,Tufted Titmouse,0.43648378375019864,1.040315720070894,post,2.6997590000000002
Bombycilla cedrorum,Cedar Waxwing,0.33431608856716394,-0.2804704360512954,post,7.841291
Branta canadensis,Canada Goose,0.5450410728420607,-0.24294647206734568,post,262.2234565
Bucephala albeola,Bufflehead,0.3990864224983426,-1.9256419417703048,post,0.003516964142098956
Bucephala clangula,Common Goldeneye,0.3525638837838849,-1.4202759839137236,post,9.33017112703681e-4
Buteo jamaicensis,Red-tailed Hawk,0.38551705687752974,-0.8923634693555595,post,1.2720194999999999
Buteo platypterus,Broad-winged Hawk,0.42975011799450624,0.1362015444097658,post,0.046431
Butorides virescens,Green Heron,0.49139994337431936,-0.39846363674696095,post,0.715448
Cardellina pusilla,Wilson's Warbler,0.3034185437805732,0.6881961609387514,post,0.022953125210510007
Cardinalis cardinalis,Northern Cardinal,0.7830683676444179,0.6526542390618777,post,18.188944499999998
Cathartes aura,Turkey Vulture,0.4036726456595317,-2.8288834388220296,post,3.127828
Catharus fuscescens,Veery,0.22797630298427168,1.6114356788675628,post,1.641401
Catharus guttatus,Hermit Thrush,0.40114593706414226,0.7028909506647012,post,0.0970605
Catharus ustulatus,Swainson's Thrush,0.3034365848315404,1.4806864834371998,post,0.007758
Certhia americana,Brown Creeper,0.4229826218379269,0.6016800969657009,post,0.0195365
Chaetura pelagica,Chimney Swift,0.384360883913253,0.7616658066380082,post,3.0421715000000003
Charadrius vociferus,Killdeer,0.28534885852887576,0.09206104882452355,post,14.0187095
Circus hudsonius,Northern Harrier,0.3463679950263902,-1.3799079384874102,post,0.174927
Cistothorus palustris,Marsh Wren,0.23708807651240368,1.350275419854384,post,1.0020985
Cistothorus stellaris,Sedge Wren,0.23985239889386248,1.533216277551275,post,1.746527
Colaptes auratus,Northern Flicker,0.38372333001790543,0.27472454845503935,post,2.2328865
Columba livia,Rock Pigeon,0.3813526172014464,-0.8434255647469465,post,57.8139945
Contopus virens,Eastern Wood-Pewee,0.3417402511927059,0.8159466106773976,post,5.3738195
Corthylio calendula,Ruby-crowned Kinglet,0.4233855761580012,0.28580944953821624,post,0.05274489807572091
Corvus brachyrhynchos,American Crow,0.5627377157200922,0.8893359091070989,post,46.9559495
Cyanocitta cristata,Blue Jay,0.7220297818753626,0.9490726867150356,post,10.150126499999999
Cygnus olor,Mute Swan,0.5198365120354752,-1.1533960747624827,post,0.5688265
Dolichonyx oryzivorus,Bobolink,0.2920135955409053,0.6294882912162766,post,4.6504005
Dryobates pubescens,Downy Woodpecker,0.6946954417506758,0.03983725538924959,post,2.233154
Dryobates villosus,Hairy Woodpecker,0.6134130385833709,0.6369150120150615,post,0.886182
Dryocopus pileatus,Pileated Woodpecker,0.5479551091839006,0.4626804793199197,post,0.920057
Dumetella carolinensis,Gray Catbird,0.4936297726073024,0.9053238462612664,post,11.357228
Empidonax minimus,Least Flycatcher,0.22325195613499912,0.9437387021709044,post,0.7014735
Empidonax traillii,Willow Flycatcher,0.1720329900427627,1.1582893720019452,post,2.3462935
Empidonax virescens,Acadian Flycatcher,0.17307766733276908,1.8380223123927697,post,0.23967149999999998
Eremophila alpestris,Horned Lark,0.12868027526200915,0.02110907047221531,post,19.4883425
Falco sparverius,American Kestrel,0.3079400424717907,-0.938543418208577,post,0.661344
Fulica americana,American Coot,0.4460555433272864,-0.8492653421485331,post,0.027818500000000003
Gallinago delicata,Wilson's Snipe,0.17402369732684453,-0.0881375785618742,post,0.137626
Gavia immer,Common Loon,0.5597021654400671,-0.5369236131081473,post,0.217117
Geothlypis trichas,Common Yellowthroat,0.3285855930055861,0.7982179919110536,post,25.445565
Haemorhous mexicanus,House Finch,0.7813317170362339,0.22514620178276817,post,11.175357
Haemorhous purpureus,Purple Finch,0.6869216512973548,0.46784549601618,post,0.074367
Haliaeetus leucocephalus,Bald Eagle,0.5611449212704688,-1.2912230243068328,post,0.467383
Hirundo rustica,Barn Swallow,0.3374133724903263,-0.22851590129081611,post,24.795561
Hydroprogne caspia,Caspian Tern,0.29764063957761694,-0.5505722767525719,post,0.0207205
Hylocichla mustelina,Wood Thrush,0.2308444475310461,1.9328977156335323,post,1.5460355
Icterus galbula,Baltimore Oriole,0.5424137634727707,0.16883110410543464,post,6.763244
Icterus spurius,Orchard Oriole,0.32758323746712703,0.5594809210715957,post,0.4832335
Junco hyemalis,Dark-eyed Junco,0.9014308274995706,0.20037457132059397,post,0.0033615
Larus delawarensis,Ring-billed Gull,0.3278111746767044,-0.8230497296241944,post,11.755343
Leiothlypis peregrina,Tennessee Warbler,0.2922107221979181,0.7244930492853145,post,0.004911099161542361
Leiothlypis ruficapilla,Nashville Warbler,0.32153231934534665,0.6907414437225299,post,0.137078
Lophodytes cucullatus,Hooded Merganser,0.4819790845412058,-1.6888131532275288,post,0.1216305
Mareca americana,American Wigeon,0.23769589373274488,-0.936483705259326,post,0.009414258740038725
