common_name,N,time,Index,audio_index
Brewer's Blackbird,0.0037478079478018254,pre,0.45054525,0.01722704681724119
Broad-winged Hawk,0.011136281142447314,pre,0.04675925,0.02667276678485645
Brown Creeper,0.025257251811586282,pre,0.0186325,0.05173064695596884
Brown Thrasher,0.05169525991944618,pre,2.4165247499999998,0.06200961547368713
Brown-headed Cowbird,0.21763306467483284,pre,17.63855875,0.0285454039039152
Bufflehead,0.07069668994651611,pre,0.0029422839414136454,0.0014183595980896
California Gull,6.559757201520114e-6,pre,0.3195283484419304,0.00525431604532294
Canada Goose,0.380406879873353,pre,193.34919225,0.01555045537537116
Canada Warbler,0.007572146396288052,pre,0.01342175,0.12696304028087488
Canvasback,0.01765012004355679,pre,0.009629080474379666,8.574194440602959e-4
Cape May Warbler,0.006780602360637958,pre,0.00323425,0.02816432580373737
Carolina Chickadee,9.620977228896168e-5,pre,0.23592525,0.08495373665480427
Carolina Wren,0.021616586564742617,pre,0.12009800000000001,0.17330704542711142
Caspian Tern,0.02003131190770859,pre,0.02267525,0.01003739575346966
Cassin's Finch,2.1865857338400383e-6,pre,0.03338006530046374,0.04415281423155439
Cedar Waxwing,0.10934896596360646,pre,8.14645075,0.01474185601819152
Cerulean Warbler,0.00571573510825786,pre,0.0429645,0.16573255446795074
Chestnut-sided Warbler,0.029407391534414674,pre,0.520056,0.05891511552472678
Chimney Swift,0.0689430481879764,pre,3.27630675,0.06495669553630913
Chipping Sparrow,0.20360393060651516,pre,25.78140875,0.04764761422855623
Chuck-will's-widow,1.9679271604560344e-5,pre,0.01689581743870088,0.974373795761079
Chukar,1.5306100136880266e-5,pre,0.02867576167419266,0.02970775299895338
Cinnamon Teal,1.0932928669200191e-4,pre,0.010014153269554906,0.00145075715706864
Clark's Grebe,6.559757201520114e-6,pre,0.024822099296240106,0.00549793827314757
Clay-colored Sparrow,0.022285681799297668,pre,1.24855075,0.03715272069702449
Cliff Swallow,0.033080855567265935,pre,103.0690245,0.02206411971365153
Common Gallinule,0.0050685057310412085,pre,0.00459025,0.01568590542967616
Common Goldeneye,0.028539316998080176,pre,8.51114016984096e-4,0.00291150686512797
Common Grackle,0.3007670542754311,pre,42.026835500000004,0.02881170781859949
Common Loon,0.03225869933134208,pre,0.245773,0.01023425739157339
Common Merganser,0.03819527959871779,pre,0.00426475,0.0025780304522811
Common Nighthawk,0.0079897842714515,pre,0.045125,0.0721923076923077
Common Raven,0.005908154652835783,pre,0.4133775,0.07738240792597793
Common Tern,0.003719382333261905,pre,0.0039253058502168245,0.00956738074168072
Common Yellowthroat,0.17345309992259486,pre,25.44983375,0.06842491725664687
Connecticut Warbler,7.871708641824137e-4,pre,0.00196925,0.19939655172413792
Cooper's Hawk,0.033951116689334274,pre,0.144497,0.01527581941644638
Dark-eyed Junco,0.10649328499521138,pre,0.0033675,0.02922327882408292
Dickcissel,0.020210611937883472,pre,7.67558275,0.08495224218876478
Double-crested Cormorant,0.057758662159384605,pre,1.825954,0.00169349382360924
Downy Woodpecker,0.2983880489970131,pre,1.9687982499999999,0.0232547684076834
Eared Grebe,9.927099231633774e-4,pre,0.10214577296086064,0.00207419624895353
Eastern Bluebird,0.11865507484682968,pre,3.73391225,0.01300868134254162
Eastern Kingbird,0.09382202066760835,pre,2.8805472500000002,0.01420260732581649
Eastern Phoebe,0.11712883800460933,pre,2.2168395,0.02561709649863471
Eastern Screech-Owl,0.002639208980744926,pre,0.008566,0.12664991235665565
Eastern Towhee,0.07707714711786134,pre,1.67466575,0.12200173129814489
Eastern Whip-poor-will,6.931476776272921e-4,pre,0.02365425,1.3761737089201878
Eastern Wood-Pewee,0.11193132371527155,pre,4.9563235,0.07017317136210907
Eurasian Collared-Dove,0.0030043687982962124,pre,0.1329455,0.02457374012324675
Eurasian Tree Sparrow,3.061220027376053e-5,pre,0.04095706892834689,0.02944026389032058
European Starling,0.23576642016556829,pre,113.633152,0.0212382047829571
