species,common_name,N,audio_index,time
Anas crecca,Green-winged Teal,0.20857093790491482,-0.6461328493763393,post
Anas platyrhynchos,Mallard,0.557462351822331,-0.8316283552899344,post
Antigone canadensis,Sandhill Crane,0.3696720623716409,-0.04795452461337031,post
Archilochus colubris,Ruby-throated Hummingbird,0.8514126954960347,-0.748959232609749,post
Ardea alba,Great Egret,0.5983809364451876,-1.516928372890033,post
Ardea herodias,Great Blue Heron,0.5076486093926045,-1.1491087738138028,post
Astur cooperii,Cooper's Hawk,0.38790367273836873,-0.2554678578366795,post
Aythya affinis,Lesser Scaup,0.28333144014068345,-2.7442999972713333,post
Aythya americana,Redhead,0.3132098755747064,-2.0583769322576813,post
Aythya collaris,Ring-necked Duck,0.36805815415381804,-1.728892125748346,post
Aythya valisineria,Canvasback,0.2744473609454463,-2.2793350042715144,post
Baeolophus bicolor,Tufted Titmouse,0.43648378375019864,1.0403157200708941,post
Bombycilla cedrorum,Cedar Waxwing,0.33431608856716394,-0.2804704360512954,post
Branta canadensis,Canada Goose,0.5450410728420607,-0.24294647206734568,post
Bucephala albeola,Bufflehead,0.3990864224983426,-1.9256419417703046,post
Bucephala clangula,Common Goldeneye,0.3525638837838849,-1.4202759839137236,post
Buteo jamaicensis,Red-tailed Hawk,0.38551705687752974,-0.8923634693555595,post
Buteo lineatus,Red-shouldered Hawk,0.32864188854001136,0.19352596334324687,post
Buteo platypterus,Broad-winged Hawk,0.42975011799450624,0.1362015444097658,post
Butorides virescens,Green Heron,0.49139994337431936,-0.39846363674696095,post
Calidris melanotos,Pectoral Sandpiper,0.11785264560198812,-1.2016186200080887,post
Calidris minutilla,Least Sandpiper,0.1663232052111366,-0.5760395570990836,post
Cardellina pusilla,Wilson's Warbler,0.3034185437805732,0.6881961609387514,post
Cardinalis cardinalis,Northern Cardinal,0.7830683676444179,0.6526542390618777,post
Cathartes aura,Turkey Vulture,0.40367264565953165,-2.8288834388220296,post
Catharus fuscescens,Veery,0.22797630298427168,1.6114356788675628,post
Catharus guttatus,Hermit Thrush,0.40114593706414226,0.7028909506647012,post
Catharus ustulatus,Swainson's Thrush,0.3034365848315404,1.4806864834371998,post
Certhia americana,Brown Creeper,0.42298262183792684,0.6016800969657009,post
Chaetura pelagica,Chimney Swift,0.38436088391325307,0.7616658066380082,post
Charadrius vociferus,Killdeer,0.28534885852887576,0.09206104882452357,post
Chroicocephalus philadelphia,Bonaparte's Gull,0.1844312318088301,-1.1428655735677653,post
Circus hudsonius,Northern Harrier,0.3463679950263902,-1.3799079384874102,post
Cistothorus palustris,Marsh Wren,0.23708807651240368,1.350275419854384,post
Cistothorus stellaris,Sedge Wren,0.23985239889386248,1.533216277551275,post
Colaptes auratus,Northern Flicker,0.38372333001790543,0.27472454845503935,post
Columba livia,Rock Pigeon,0.3813526172014464,-0.8434255647469465,post
Contopus virens,Eastern Wood-Pewee,0.3417402511927059,0.8159466106773976,post
Corthylio calendula,Ruby-crowned Kinglet,0.4233855761580012,0.28580944953821624,post
Corvus brachyrhynchos,American Crow,0.5627377157200922,0.8893359091070989,post
Cyanocitta cristata,Blue Jay,0.7220297818753626,0.9490726867150355,post
Cygnus buccinator,Trumpeter Swan,0.6224841946495882,-0.5022569538168681,post
Cygnus olor,Mute Swan,0.5198365120354752,-1.1533960747624827,post
Dolichonyx oryzivorus,Bobolink,0.2920135955409053,0.6294882912162766,post
Dryobates pubescens,Downy Woodpecker,0.6946954417506758,0.03983725538924959,post
Dryobates villosus,Hairy Woodpecker,0.6134130385833709,0.6369150120150615,post
Dryocopus pileatus,Pileated Woodpecker,0.5479551091839006,0.4626804793199197,post
Dumetella carolinensis,Gray Catbird,0.4936297726073024,0.9053238462612663,post
Empidonax minimus,Least Flycatcher,0.22325195613499912,0.9437387021709044,post
Empidonax traillii,Willow Flycatcher,0.17203299004276273,1.1582893720019452,post
Empidonax virescens,Acadian Flycatcher,0.17307766733276908,1.8380223123927695,post
