audio_index,common_name,scientific_name
0.010388023220287198,Yellow-billed Duck,Anas undulata
0.014705882352941176,Meller's Duck,Anas melleri
0.003931170040346219,Pacific Black Duck,Anas superciliosa
0.03663003663003663,Laysan Duck,Anas laysanensis
0.004016064257028112,Hawaiian Duck,Anas wyvilliana
0.015625,Philippine Duck,Anas luzonica
0.010086597126549891,Indian Spot-billed Duck,Anas poecilorhyncha
0.004128819157720892,Eastern Spot-billed Duck,Anas zonorhyncha
0.006728525144500487,Mallard,Anas platyrhynchos
0.006424115139909816,Mexican Duck,Anas diazi
0.0025683332295622936,American Black Duck,Anas rubripes
0.0030551646012838556,Mottled Duck,Anas fulvigula
0.0019753086419753087,Cape Teal,Anas capensis
0.0015182800923114297,White-cheeked Pintail,Anas bahamensis
0.0037678975131876413,Red-billed Duck,Anas erythrorhyncha
0.0026652816314257206,Northern Pintail,Anas acuta
0,Eaton's Pintail,Anas eatoni
0.00818694857324537,Yellow-billed Pintail,Anas georgica
0.008761162184232016,Green-winged Teal,Anas crecca
0.019203072491598656,Andean Teal,Anas andium
0.010291476723304323,Yellow-billed Teal,Anas flavirostris
NA,Mauritius Duck,Anas theodori
0.0136986301369863,Andaman Teal,Anas albogularis
0.008353221957040573,Sunda Teal,Anas gibberifrons
0.0025730564234515713,Gray Teal,Anas gracilis
0.0030806751813105705,Chestnut Teal,Anas castanea
0.029787234042553193,Bernier's Teal,Anas bernieri
0,Auckland Islands Teal,Anas aucklandica
0.020689655172413793,Campbell Islands Teal,Anas nesiotis
0.0029239766081871343,Brown Teal,Anas chlorotis
0.004675437642709579,Pink-eared Duck,Malacorhynchus membranaceus
9.817396426467701e-4,Marbled Duck,Marmaronetta angustirostris
0,Pink-headed Duck,Rhodonessa caryophyllacea
0.017341040462427744,White-winged Duck,Asarcornis scutulata
0.0016899677369795667,Red-crested Pochard,Netta rufina
0.0021897810218978104,Southern Pochard,Netta erythrophthalma
0.0025924645696508816,Rosy-billed Pochard,Netta peposaca
8.574194440602959e-4,Canvasback,Aythya valisineria
0.001174227123707176,Redhead,Aythya americana
0.002623884848939201,Common Pochard,Aythya ferina
0.0018766517867057544,Ring-necked Duck,Aythya collaris
0.001619761085239927,Ferruginous Duck,Aythya nyroca
0.01098901098901099,Madagascar Pochard,Aythya innotata
0,Baer's Pochard,Aythya baeri
5.523989898989899e-4,Hardhead,Aythya australis
0.0018295918180653895,Tufted Duck,Aythya fuligula
0.009256085018854988,New Zealand Scaup,Aythya novaeseelandiae
5.057298111583365e-4,Greater Scaup,Aythya marila
4.424160573743771e-4,Lesser Scaup,Aythya affinis
0.0025982461838259174,Steller's Eider,Polysticta stelleri
0,Labrador Duck,Camptorhynchus labradorius
0.005405405405405406,Spectacled Eider,Somateria fischeri
9.859097071026578e-4,King Eider,Somateria spectabilis
0.0027467729387294984,Common Eider,Somateria mollissima
9.621412015102701e-4,Harlequin Duck,Histrionicus histrionicus
6.821790037705894e-4,Surf Scoter,Melanitta perspicillata
4.434589800443459e-4,Velvet Scoter,Melanitta fusca
1.539408866995074e-4,White-winged Scoter,Melanitta deglandi
0,Stejneger's Scoter,Melanitta stejnegeri
0.028694404591104734,Common Scoter,Melanitta nigra
0.004180970829098023,Black Scoter,Melanitta americana
0.005803379668978879,Long-tailed Duck,Clangula hyemalis
0.0014183595980896077,Bufflehead,Bucephala albeola
0.0029115068651279718,Common Goldeneye,Bucephala clangula
0.0013219944357846136,Barrow's Goldeneye,Bucephala islandica
0,Smew,Mergellus albellus
0.001986798005774712,Hooded Merganser,Lophodytes cucullatus
NA,Auckland Islands Merganser,Mergus australis
0.0025780304522811065,Common Merganser,Mergus merganser
0.032467532467532464,Brazilian Merganser,Mergus octosetaceus
5.586838584471529e-4,Red-breasted Merganser,Mergus serrator
0,Scaly-sided Merganser,Mergus squamatus
7.547169811320754e-4,Black-headed Duck,Heteronetta atricapilla
0.0024487978628673196,Masked Duck,Nomonyx dominicus
0.0013378379522612002,Ruddy Duck,Oxyura jamaicensis
0.005259547221587012,Andean Duck,Oxyura ferruginea
3.422899195618689e-4,White-headed Duck,Oxyura leucocephala
0.0030303030303030303,Maccoa Duck,Oxyura maccoa
0.0012881854987118145,Lake Duck,Oxyura vittata
